order_number purchase_amount order_date customer_id category
1 311.99494425182456 "2012-01-01 00:00:00.000000000" 3574 Outerwear
2 729.4380241479516 "2012-01-01 05:24:48.494424721" 3843 Tops
3 169.44838425880735 "2012-01-01 10:49:36.988849442" 3405 Tops
4 609.414570668935 "2012-01-01 16:14:25.483274163" 3298 Outerwear
5 52.432818413342986 "2012-01-01 21:39:13.977698884" 3200 Dresses
6 310.3653808599127 "2012-01-02 03:04:02.472123606" 3900 Pants
7 573.4017634786691 "2012-01-02 08:28:50.966548327" 3314 Pants
8 972.785664555299 "2012-01-02 13:53:39.460973048" 3804 Outerwear
9 363.7718755020308 "2012-01-02 19:18:27.955397769" 3295 Dresses
10 778.8025694108544 "2012-01-03 00:43:16.449822491" 3860 Pants
11 861.6271816455338 "2012-01-03 06:08:04.944247212" 3275 Pants
12 365.06544396551465 "2012-01-03 11:32:53.438671933" 3545 Dresses
13 926.306475848782 "2012-01-03 16:57:41.933096654" 3371 Dresses
14 409.6634988614105 "2012-01-03 22:22:30.427521376" 3802 Pants
15 465.72215917297757 "2012-01-04 03:47:18.921946097" 3134 Dresses
16 772.4113150414618 "2012-01-04 09:12:07.416370818" 3508 Outerwear
17 560.5512055908248 "2012-01-04 14:36:55.910795539" 3025 Tops
18 342.0889717463178 "2012-01-04 20:01:44.405220261" 3768 Pants
19 513.2699994835802 "2012-01-05 01:26:32.899644982" 3953 Outerwear
20 674.8690516468516 "2012-01-05 06:51:21.394069703" 3804 Dresses
21 229.4639992183945 "2012-01-05 12:16:09.888494424" 3985 Pants
22 419.4750949402493 "2012-01-05 17:40:58.382919145" 3958 Outerwear
23 863.8444060149585 "2012-01-05 23:05:46.877343867" 3512 Outerwear
24 49.57714606770901 "2012-01-06 04:30:35.371768588" 3649 Outerwear
25 504.7167321107239 "2012-01-06 09:55:23.866193309" 3815 Outerwear
26 682.458927994542 "2012-01-06 15:20:12.360618030" 3476 Tops
27 965.753881281455 "2012-01-06 20:45:00.855042752" 3853 Tops
28 538.4715722096861 "2012-01-07 02:09:49.349467473" 3420 Pants
29 921.3586303880948 "2012-01-07 07:34:37.843892194" 3556 Tops
30 59.86917226434629 "2012-01-07 12:59:26.338316915" 3345 Outerwear
31 365.8303609962795 "2012-01-07 18:24:14.832741637" 3243 Pants
32 549.0721687506721 "2012-01-07 23:49:03.327166358" 3873 Outerwear
33 415.5216373276996 "2012-01-08 05:13:51.821591079" 3103 Dresses
34 968.4199283077719 "2012-01-08 10:38:40.316015800" 3922 Tops
35 543.4199362048759 "2012-01-08 16:03:28.810440522" 3701 Pants
36 914.9717067390562 "2012-01-08 21:28:17.304865243" 3538 Pants
37 901.3725526830264 "2012-01-09 02:53:05.799289964" 3989 Outerwear
38 597.1300721480503 "2012-01-09 08:17:54.293714685" 3070 Tops
39 282.3547919986206 "2012-01-09 13:42:42.788139406" 3292 Dresses
40 212.61811109772574 "2012-01-09 19:07:31.282564128" 3061 Outerwear
41 780.3695509791428 "2012-01-10 00:32:19.776988849" 3377 Dresses
42 300.51550169622243 "2012-01-10 05:57:08.271413570" 3020 Dresses
43 278.47249247034785 "2012-01-10 11:21:56.765838291" 3750 Dresses
44 439.1727713406085 "2012-01-10 16:46:45.260263013" 3203 Dresses
45 49.351471095818695 "2012-01-10 22:11:33.754687734" 3774 Tops
46 690.0643641432044 "2012-01-11 03:36:22.249112455" 3616 Dresses
47 540.668300862893 "2012-01-11 09:01:10.743537176" 3227 Dresses
48 657.296316757873 "2012-01-11 14:25:59.237961898" 3437 Dresses
49 176.96689020885327 "2012-01-11 19:50:47.732386619" 3794 Dresses
50 118.44934866916346 "2012-01-12 01:15:36.226811340" 3819 Tops
51 641.6161770528731 "2012-01-12 06:40:24.721236061" 3097 Tops
52 101.15155051449973 "2012-01-12 12:05:13.215660783" 3765 Tops
53 968.9657690469733 "2012-01-12 17:30:01.710085504" 3065 Tops
54 631.5197800589542 "2012-01-12 22:54:50.204510225" 3449 Dresses
55 862.7219082125163 "2012-01-13 04:19:38.698934946" 3292 Outerwear
56 631.1416026560424 "2012-01-13 09:44:27.193359667" 3574 Dresses
57 583.1670640058727 "2012-01-13 15:09:15.687784389" 3515 Pants
58 466.4984654862767 "2012-01-13 20:34:04.182209110" 3163 Outerwear
59 304.6044082554647 "2012-01-14 01:58:52.676633831" 3076 Tops
60 887.9252073415099 "2012-01-14 07:23:41.171058552" 3956 Outerwear
61 711.7990785856304 "2012-01-14 12:48:29.665483274" 3991 Outerwear
62 498.6569534346935 "2012-01-14 18:13:18.159907995" 3231 Dresses
63 238.8992660846392 "2012-01-14 23:38:06.654332716" 3655 Pants
64 258.6995557024842 "2012-01-15 05:02:55.148757437" 3389 Outerwear
65 461.13069711990863 "2012-01-15 10:27:43.643182159" 3923 Tops
66 162.65999692883054 "2012-01-15 15:52:32.137606880" 3988 Dresses
67 797.6995840887708 "2012-01-15 21:17:20.632031601" 3721 Tops
68 614.8876358699168 "2012-01-16 02:42:09.126456322" 3968 Dresses
69 204.46633105289857 "2012-01-16 08:06:57.620881044" 3044 Pants
70 517.6221432507896 "2012-01-16 13:31:46.115305765" 3188 Outerwear
71 896.2027543016337 "2012-01-16 18:56:34.609730486" 3060 Dresses
72 727.7928578518394 "2012-01-17 00:21:23.104155207" 3424 Outerwear
73 235.8090377122192 "2012-01-17 05:46:11.598579929" 3923 Outerwear
74 151.51466529875506 "2012-01-17 11:11:00.093004650" 3667 Pants
75 109.60753905530927 "2012-01-17 16:35:48.587429371" 3821 Pants
76 749.4366403262701 "2012-01-17 22:00:37.081854092" 3196 Tops
77 719.0109964642807 "2012-01-18 03:25:25.576278813" 3210 Outerwear
78 468.80925737486245 "2012-01-18 08:50:14.070703535" 3107 Tops
79 490.2114460461585 "2012-01-18 14:15:02.565128256" 3568 Pants
80 282.28445612980505 "2012-01-18 19:39:51.059552977" 3247 Pants
81 49.987679666450035 "2012-01-19 01:04:39.553977698" 3205 Tops
82 917.1932032354671 "2012-01-19 06:29:28.048402420" 3350 Pants
83 78.68776869682416 "2012-01-19 11:54:16.542827141" 3784 Outerwear
84 771.5649837151333 "2012-01-19 17:19:05.037251862" 3253 Pants
85 267.71722108287287 "2012-01-19 22:43:53.531676583" 3502 Pants
86 939.7349432990618 "2012-01-20 04:08:42.026101305" 3718 Dresses
87 912.2751489633507 "2012-01-20 09:33:30.520526026" 3518 Tops
88 440.1923509253535 "2012-01-20 14:58:19.014950747" 3325 Pants
89 498.20805119962904 "2012-01-20 20:23:07.509375468" 3693 Dresses
90 806.2099045538838 "2012-01-21 01:47:56.003800189" 3128 Pants
91 804.3887224043223 "2012-01-21 07:12:44.498224911" 3480 Outerwear
92 863.4601287983303 "2012-01-21 12:37:32.992649632" 3696 Pants
93 829.5661321720762 "2012-01-21 18:02:21.487074353" 3327 Pants
94 327.28503050448796 "2012-01-21 23:27:09.981499074" 3616 Pants
95 101.6645073814514 "2012-01-22 04:51:58.475923796" 3226 Pants
96 775.6304716415084 "2012-01-22 10:16:46.970348517" 3989 Pants
97 478.2599616138479 "2012-01-22 15:41:35.464773238" 3934 Tops
98 614.4511380273062 "2012-01-22 21:06:23.959197959" 3568 Outerwear
99 624.7477554094189 "2012-01-23 02:31:12.453622681" 3110 Outerwear
100 27.147269679573565 "2012-01-23 07:56:00.948047402" 3710 Dresses
101 612.2981936393697 "2012-01-23 13:20:49.442472123" 3527 Pants
102 322.60724905896126 "2012-01-23 18:45:37.936896844" 3281 Pants
103 810.7641417862149 "2012-01-24 00:10:26.431321566" 3318 Tops
104 473.1348823496696 "2012-01-24 05:35:14.925746287" 3233 Tops
105 16.812204907447352 "2012-01-24 11:00:03.420171008" 3441 Dresses
106 81.77095594036858 "2012-01-24 16:24:51.914595729" 3995 Dresses
107 762.3478997500038 "2012-01-24 21:49:40.409020450" 3535 Tops
108 321.47431879450914 "2012-01-25 03:14:28.903445172" 3458 Tops
109 176.64726286955985 "2012-01-25 08:39:17.397869893" 3021 Dresses
110 807.1276854133299 "2012-01-25 14:04:05.892294614" 3155 Dresses
111 698.4719121797547 "2012-01-25 19:28:54.386719335" 3774 Dresses
112 774.4182848675592 "2012-01-26 00:53:42.881144057" 3161 Dresses
113 892.4821539971828 "2012-01-26 06:18:31.375568778" 3629 Pants
114 138.56373305336982 "2012-01-26 11:43:19.869993499" 3436 Outerwear
115 696.0800962232764 "2012-01-26 17:08:08.364418220" 3581 Outerwear
116 810.1682953682197 "2012-01-26 22:32:56.858842942" 3981 Outerwear
117 804.5297024156196 "2012-01-27 03:57:45.353267663" 3151 Tops
118 105.67214687744622 "2012-01-27 09:22:33.847692384" 3031 Tops
119 465.28732458935474 "2012-01-27 14:47:22.342117105" 3717 Dresses
120 197.18640509164612 "2012-01-27 20:12:10.836541827" 3167 Pants
121 723.4758499636088 "2012-01-28 01:36:59.330966548" 3487 Pants
122 997.0176829215541 "2012-01-28 07:01:47.825391269" 3364 Tops
123 626.1239862354906 "2012-01-28 12:26:36.319815990" 3964 Pants
124 311.69221353739056 "2012-01-28 17:51:24.814240712" 3664 Tops
125 324.5054584898489 "2012-01-28 23:16:13.308665433" 3184 Dresses
126 72.23471500920849 "2012-01-29 04:41:01.803090154" 3676 Outerwear
127 859.113301589494 "2012-01-29 10:05:50.297514875" 3038 Pants
128 967.83430752584 "2012-01-29 15:30:38.791939597" 3079 Outerwear
129 319.06494401756277 "2012-01-29 20:55:27.286364318" 3045 Outerwear
130 152.05911906259178 "2012-01-30 02:20:15.780789039" 3622 Dresses
131 751.3989997116665 "2012-01-30 07:45:04.275213760" 3408 Outerwear
132 644.9458464601901 "2012-01-30 13:09:52.769638481" 3447 Outerwear
133 747.6127213271004 "2012-01-30 18:34:41.264063203" 3186 Dresses
134 222.20726337508833 "2012-01-30 23:59:29.758487924" 3887 Dresses
135 258.68249642556987 "2012-01-31 05:24:18.252912645" 3257 Outerwear
136 211.84470934538882 "2012-01-31 10:49:06.747337366" 3804 Dresses
137 777.0479153709268 "2012-01-31 16:13:55.241762088" 3300 Pants
138 165.8606425045918 "2012-01-31 21:38:43.736186809" 3410 Dresses
139 552.1255170720005 "2012-02-01 03:03:32.230611530" 3664 Dresses
140 321.49525498828183 "2012-02-01 08:28:20.725036251" 3478 Pants
141 902.2448473391596 "2012-02-01 13:53:09.219460973" 3785 Tops
142 464.5146642009126 "2012-02-01 19:17:57.713885694" 3024 Tops
143 296.3002371191772 "2012-02-02 00:42:46.208310415" 3212 Outerwear
144 478.7969540682706 "2012-02-02 06:07:34.702735136" 3891 Tops
145 393.36633710790517 "2012-02-02 11:32:23.197159858" 3947 Dresses
146 516.4627382287649 "2012-02-02 16:57:11.691584579" 3776 Dresses
147 431.180991243213 "2012-02-02 22:22:00.186009300" 3728 Tops
148 634.3869026543277 "2012-02-03 03:46:48.680434021" 3916 Tops
149 158.9263637445461 "2012-02-03 09:11:37.174858742" 3891 Dresses
150 849.7765789228971 "2012-02-03 14:36:25.669283464" 3920 Tops
151 766.8151202195379 "2012-02-03 20:01:14.163708185" 3750 Pants
152 307.24702638669964 "2012-02-04 01:26:02.658132906" 3233 Dresses
153 300.13851013499897 "2012-02-04 06:50:51.152557627" 3737 Tops
154 91.35356787559955 "2012-02-04 12:15:39.646982349" 3448 Pants
155 351.4069538716026 "2012-02-04 17:40:28.141407070" 3270 Outerwear
156 635.7805504784111 "2012-02-04 23:05:16.635831791" 3652 Dresses
157 601.1978862793011 "2012-02-05 04:30:05.130256512" 3383 Tops
158 75.06283030926919 "2012-02-05 09:54:53.624681234" 3414 Tops
159 736.6561822293639 "2012-02-05 15:19:42.119105955" 3242 Outerwear
160 466.0028249012423 "2012-02-05 20:44:30.613530676" 3261 Pants
161 808.2349599330142 "2012-02-06 02:09:19.107955397" 3986 Dresses
162 280.32070421617817 "2012-02-06 07:34:07.602380118" 3986 Dresses
163 451.5515899416073 "2012-02-06 12:58:56.096804840" 3740 Tops
164 641.538266963015 "2012-02-06 18:23:44.591229561" 3352 Dresses
165 422.59585389848195 "2012-02-06 23:48:33.085654282" 3679 Dresses
166 518.5168259434017 "2012-02-07 05:13:21.580079003" 3364 Tops
167 290.4047985017084 "2012-02-07 10:38:10.074503725" 3321 Tops
168 891.5323312261258 "2012-02-07 16:02:58.568928446" 3164 Pants
169 302.9752949664127 "2012-02-07 21:27:47.063353167" 3315 Tops
170 847.6938246041027 "2012-02-08 02:52:35.557777888" 3890 Outerwear
171 95.57730844383585 "2012-02-08 08:17:24.052202610" 3251 Pants
172 114.34998621426632 "2012-02-08 13:42:12.546627331" 3724 Outerwear
173 715.3037014625725 "2012-02-08 19:07:01.041052052" 3449 Pants
174 984.3604453179812 "2012-02-09 00:31:49.535476773" 3211 Pants
175 211.71215281561683 "2012-02-09 05:56:38.029901495" 3448 Dresses
176 298.540057612828 "2012-02-09 11:21:26.524326216" 3177 Outerwear
177 163.64442864529093 "2012-02-09 16:46:15.018750937" 3183 Outerwear
178 118.89331666816838 "2012-02-09 22:11:03.513175658" 3279 Pants
179 379.8336356417372 "2012-02-10 03:35:52.007600379" 3560 Pants
180 178.33033692320504 "2012-02-10 09:00:40.502025101" 3421 Pants
181 35.586938939098225 "2012-02-10 14:25:28.996449822" 3891 Outerwear
182 967.6543631522788 "2012-02-10 19:50:17.490874543" 3576 Dresses
183 679.5609270727133 "2012-02-11 01:15:05.985299264" 3264 Outerwear
184 472.1315203209266 "2012-02-11 06:39:54.479723986" 3104 Dresses
185 861.3126375393083 "2012-02-11 12:04:42.974148707" 3227 Pants
186 198.57213630807556 "2012-02-11 17:29:31.468573428" 3002 Tops
187 467.76484892126444 "2012-02-11 22:54:19.962998149" 3158 Outerwear
188 745.0292671627924 "2012-02-12 04:19:08.457422871" 3444 Tops
189 205.55312926893447 "2012-02-12 09:43:56.951847592" 3837 Pants
190 576.9492870967204 "2012-02-12 15:08:45.446272313" 3197 Dresses
191 830.8021081230244 "2012-02-12 20:33:33.940697034" 3328 Tops
192 189.27918648738822 "2012-02-13 01:58:22.435121756" 3725 Dresses
193 210.48197934844367 "2012-02-13 07:23:10.929546477" 3879 Outerwear
194 112.80975111975013 "2012-02-13 12:47:59.423971198" 3088 Pants
195 702.2959992490279 "2012-02-13 18:12:47.918395919" 3631 Tops
196 801.2733747514687 "2012-02-13 23:37:36.412820640" 3981 Dresses
197 816.2748074580936 "2012-02-14 05:02:24.907245362" 3352 Dresses
198 597.0061195324693 "2012-02-14 10:27:13.401670083" 3957 Dresses
199 78.5365568020491 "2012-02-14 15:52:01.896094804" 3222 Pants
200 457.85827768582845 "2012-02-14 21:16:50.390519525" 3987 Outerwear
